"scene_id","sensor","collection","tile_id","year","yday","date","scene_dir"
"HLS.L30.T16TDM.2024183T162806.v2.0","L30","HLSL30.v2.0","T16TDM",2024,183,2024-07-01,"U:/datasets/ndvi_monitor/raw_hls_data/pipeline_test"
"HLS.L30.T13SEA.2013102T173342.v2.0","L30","HLSL30.v2.0","T13SEA",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEA.2013109T173953.v2.0","L30","HLSL30.v2.0","T13SEA",2013,109,2013-04-19,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEA.2013118T173340.v2.0","L30","HLSL30.v2.0","T13SEA",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEB.2013102T173342.v2.0","L30","HLSL30.v2.0","T13SEB",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEB.2013109T173953.v2.0","L30","HLSL30.v2.0","T13SEB",2013,109,2013-04-19,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEB.2013118T173340.v2.0","L30","HLSL30.v2.0","T13SEB",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEC.2013102T173318.v2.0","L30","HLSL30.v2.0","T13SEC",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SEC.2013118T173316.v2.0","L30","HLSL30.v2.0","T13SEC",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SED.2013118T173252.v2.0","L30","HLSL30.v2.0","T13SED",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFA.2013102T173342.v2.0","L30","HLSL30.v2.0","T13SFA",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFA.2013111T172731.v2.0","L30","HLSL30.v2.0","T13SFA",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFA.2013118T173340.v2.0","L30","HLSL30.v2.0","T13SFA",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFB.2013102T173342.v2.0","L30","HLSL30.v2.0","T13SFB",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFB.2013111T172731.v2.0","L30","HLSL30.v2.0","T13SFB",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFC.2013102T173318.v2.0","L30","HLSL30.v2.0","T13SFC",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFC.2013109T173929.v2.0","L30","HLSL30.v2.0","T13SFC",2013,109,2013-04-19,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFC.2013111T172707.v2.0","L30","HLSL30.v2.0","T13SFC",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFC.2013118T173316.v2.0","L30","HLSL30.v2.0","T13SFC",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFD.2013109T173905.v2.0","L30","HLSL30.v2.0","T13SFD",2013,109,2013-04-19,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SFD.2013118T173252.v2.0","L30","HLSL30.v2.0","T13SFD",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGA.2013102T173342.v2.0","L30","HLSL30.v2.0","T13SGA",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGA.2013104T172122.v2.0","L30","HLSL30.v2.0","T13SGA",2013,104,2013-04-14,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGA.2013111T172731.v2.0","L30","HLSL30.v2.0","T13SGA",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGA.2013118T173340.v2.0","L30","HLSL30.v2.0","T13SGA",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGA.2013120T172120.v2.0","L30","HLSL30.v2.0","T13SGA",2013,120,2013-04-30,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGB.2013102T173342.v2.0","L30","HLSL30.v2.0","T13SGB",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGB.2013104T172122.v2.0","L30","HLSL30.v2.0","T13SGB",2013,104,2013-04-14,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGB.2013111T172731.v2.0","L30","HLSL30.v2.0","T13SGB",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGB.2013118T173340.v2.0","L30","HLSL30.v2.0","T13SGB",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGB.2013120T172120.v2.0","L30","HLSL30.v2.0","T13SGB",2013,120,2013-04-30,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGC.2013102T173318.v2.0","L30","HLSL30.v2.0","T13SGC",2013,102,2013-04-12,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGC.2013111T172707.v2.0","L30","HLSL30.v2.0","T13SGC",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGC.2013118T173316.v2.0","L30","HLSL30.v2.0","T13SGC",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGD.2013111T172643.v2.0","L30","HLSL30.v2.0","T13SGD",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13SGD.2013118T173252.v2.0","L30","HLSL30.v2.0","T13SGD",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13TEE.2013109T173905.v2.0","L30","HLSL30.v2.0","T13TEE",2013,109,2013-04-19,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13TEE.2013118T173252.v2.0","L30","HLSL30.v2.0","T13TEE",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13TFE.2013109T173905.v2.0","L30","HLSL30.v2.0","T13TFE",2013,109,2013-04-19,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13TFE.2013118T173252.v2.0","L30","HLSL30.v2.0","T13TFE",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13TGE.2013111T172643.v2.0","L30","HLSL30.v2.0","T13TGE",2013,111,2013-04-21,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T13TGE.2013118T173252.v2.0","L30","HLSL30.v2.0","T13TGE",2013,118,2013-04-28,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
"HLS.L30.T14SKF.2013104T172122.v2.0","L30","HLSL30.v2.0","T14SKF",2013,104,2013-04-14,"U:/datasets/ndvi_monitor/raw_hls_data/year_2013/midwest_01_01"
